hour_of_week,day_of_week,hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
132,Sat,12,252.8558544,919.1271776,1541.7862872,405.2880232,753.7018488,280.7149816,2714.67436,579.853368,1565.9983688,2138.5218024,224.6830992
133,Sat,13,229.0022048,817.986628,1493.272516,374.2836552,710.8423424,261.0460256,2683.9746592,518.7944768,1516.5616352,1986.7079288,202.5499232
134,Sat,14,224.6203736,763.0210808,1487.8601928,351.5590664,705.1522344,245.7678616,2668.6696128,484.4566912,1576.7782112,1935.1116424,196.2325592
135,Sat,15,215.0323176,792.6186032,1485.6916792,360.134552,716.6130976,247.7123552,2671.9403048,443.9449144,1622.1825848,1994.1005888,193.239652
136,Sat,16,221.1167008,900.1482032,1504.3301432,397.2591464,776.2920256,275.7865416,2703.8497136,459.6711184,1600.4526448,2044.6126184,195.1483024
137,Sat,17,242.031208,978.3132616,1482.5733208,444.4736016,877.7372424,300.5721144,2707.7387008,473.3004952,1660.929084,2270.8728184,209.1181896
138,Sat,18,244.2982904,1018.3769984,1506.31048,476.3740496,893.3379952,305.4557504,2705.4536968,524.923664,1689.245212,2338.589584,209.324288
139,Sat,19,252.4526184,1044.0586512,1502.3766888,465.5494032,878.1942432,305.4199072,2724.0563176,579.1544256,1670.5261008,2361.8966248,216.2778688
140,Sat,20,242.0401688,1022.4989664,1471.452968,426.0322752,805.3608608,281.2526296,2666.5279816,595.0956888,1630.41756,2343.2402392,219.9249144
141,Sat,21,228.94844,962.1031744,1403.5032216,396.7125376,748.585232,270.2846104,2547.0536352,559.3958616,1560.0932016,2268.2831472,206.7973424
142,Sat,22,208.9120912,896.4921968,1275.6505272,341.048048,667.8663456,255.7591536,2347.0037752,491.4819584,1430.8784656,2142.1957304,184.1175576
143,Sat,23,196.3848928,795.360608,1160.19958,308.2425592,614.4151736,223.5450776,2161.2822344,469.0441152,1311.6371,2011.7354432,158.7316112
144,Sun,0,173.9201672,748.3880944,1101.4973792,290.2671944,596.5742208,207.66654,2061.7725504,439.9125544,1222.3964928,1974.9513592,136.3206504
145,Sun,1,157.1455496,744.3019696,1088.7551216,284.6487728,596.3591616,193.8310648,2039.746904,428.3620832,1240.9722312,1962.4152,131.6072696
146,Sun,2,164.475484,736.7300936,1075.699236,293.5826904,621.5300488,191.850728,2044.9620896,451.0329072,1241.877272,2001.8068768,128.3544992
147,Sun,3,169.6637872,756.649952,1096.219468,313.6459216,658.4754272,197.0838352,2050.67908,501.2940344,1254.4761568,2021.8969904,132.8259384
148,Sun,4,189.2431352,802.1797768,1131.4533336,380.0454496,730.350004,215.5430832,2103.3954664,576.2063224,1332.381352,2114.1036224,155.8193512
149,Sun,5,216.134496,946.5203432,1270.5428712,465.28954,927.9625264,251.7626368,2243.7126336,685.5639256,1566.2044672,2273.3728816,166.3662128
150,Sun,6,222.6400368,1085.5471552,1465.1535256,511.3749344,1035.8057544,284.012556,2438.8519752,670.0975848,1675.5441488,2495.0541128,188.9474288
151,Sun,7,246.1173328,1139.9571328,1527.413164,506.1418272,1085.7263712,294.8820064,2514.7768336,644.2008728,1753.6644032,2584.9398976,207.084088
152,Sun,8,256.0279776,1181.6248528,1595.9722448,479.0802112,1040.6266648,316.2803968,2586.8664696,629.0391992,1823.7378592,2502.3213216,226.977064
153,Sun,9,284.6487728,1164.0885672,1610.9098984,451.669124,1019.8107264,330.5101472,2680.4620256,587.8105584,1753.1446768,2329.1628224,244.7463304
154,Sun,10,275.2040896,1122.9495344,1585.9092664,455.7283664,958.1066576,333.9600552,2607.81682,590.9289168,1662.6674792,2164.750064,238.8411632
155,Sun,11,269.7111192,1089.9648296,1569.9859248,442.7889712,879.771344,326.352336,2586.6872536,501.984016,1574.950208,2169.0243656,235.579432
